"Trial","Osm","Cu","H2S","Anoxia","Dead","Alive"
1,12.8,0,0,0,0,160
1,12.8,0,0,1,2,144
1,12.8,0,0.03,0,0,139
1,12.8,0,0.03,1,1,168
1,12.8,0,0.1,0,0,109
1,12.8,0,0.1,1,2,138
1,12.8,0,0.32,0,161,0
1,12.8,0,0.32,1,5,169
1,12.8,33.3,0,0,0,166
1,12.8,33.3,0,1,1,122
1,12.8,33.3,0.03,0,1,96
1,12.8,33.3,0.03,1,0,141
1,12.8,33.3,0.1,0,114,0
1,12.8,33.3,0.1,1,124,10
1,12.8,33.3,0.32,0,252,0
1,12.8,33.3,0.32,1,215,0
1,12.8,66.6,0,0,0,152
1,12.8,66.6,0,1,0,131
1,12.8,66.6,0.03,0,5,123
1,12.8,66.6,0.03,1,1,147
1,12.8,66.6,0.1,0,119,0
1,12.8,66.6,0.1,1,151,0
1,12.8,66.6,0.32,0,251,0
1,12.8,66.6,0.32,1,205,0
1,12.8,133.3,0,0,3,96
1,12.8,133.3,0,1,1,95
1,12.8,133.3,0.03,0,17,115
1,12.8,133.3,0.03,1,10,125
1,12.8,133.3,0.1,0,148,0
1,12.8,133.3,0.1,1,110,0
1,12.8,133.3,0.32,0,320,1
1,12.8,133.3,0.32,1,290,0
1,22.4,0,0,0,0,134
1,22.4,0,0,1,3,117
1,22.4,0,0.03,0,0,169
1,22.4,0,0.03,1,3,134
1,22.4,0,0.1,0,5,76
1,22.4,0,0.1,1,0,89
1,22.4,0,0.32,0,155,0
1,22.4,0,0.32,1,2,130
1,22.4,33.3,0,0,4,112
1,22.4,33.3,0,1,4,119
1,22.4,33.3,0.03,0,6,138
1,22.4,33.3,0.03,1,0,144
1,22.4,33.3,0.1,0,124,0
1,22.4,33.3,0.1,1,114,25
1,22.4,33.3,0.32,0,238,0
1,22.4,33.3,0.32,1,162,0
1,22.4,66.6,0,0,18,131
1,22.4,66.6,0,1,1,109
1,22.4,66.6,0.03,0,5,156
1,22.4,66.6,0.03,1,1,162
1,22.4,66.6,0.1,0,138,0
1,22.4,66.6,0.1,1,104,0
1,22.4,66.6,0.32,0,235,0
1,22.4,66.6,0.32,1,234,0
1,22.4,133.3,0,0,7,130
1,22.4,133.3,0,1,18,111
1,22.4,133.3,0.03,0,20,109
1,22.4,133.3,0.03,1,1,164
1,22.4,133.3,0.1,0,92,0
1,22.4,133.3,0.1,1,113,0
1,22.4,133.3,0.32,0,312,0
1,22.4,133.3,0.32,1,256,1
1,32,0,0,0,1,99
1,32,0,0,1,3,108
1,32,0,0.03,0,5,103
1,32,0,0.03,1,3,141
1,32,0,0.1,0,1,111
1,32,0,0.1,1,2,132
1,32,0,0.32,0,169,0
1,32,0,0.32,1,11,111
1,32,33.3,0,0,5,142
1,32,33.3,0,1,13,86
1,32,33.3,0.03,0,1,178
1,32,33.3,0.03,1,0,167
1,32,33.3,0.1,0,113,0
1,32,33.3,0.1,1,82,23
1,32,33.3,0.32,0,231,1
1,32,33.3,0.32,1,131,0
1,32,66.6,0,0,4,94
1,32,66.6,0,1,3,83
1,32,66.6,0.03,0,3,116
1,32,66.6,0.03,1,1,140
1,32,66.6,0.1,0,112,0
1,32,66.6,0.1,1,83,0
1,32,66.6,0.32,0,221,0
1,32,66.6,0.32,1,249,0
1,32,133.3,0,0,12,82
1,32,133.3,0,1,8,53
1,32,133.3,0.03,0,23,106
1,32,133.3,0.03,1,10,125
1,32,133.3,0.1,0,98,0
1,32,133.3,0.1,1,108,0
1,32,133.3,0.32,0,115,0
1,32,133.3,0.32,1,263,0
1,41.6,0,0,0,9,65
1,41.6,0,0,1,9,92
1,41.6,0,0.03,0,7,48
1,41.6,0,0.03,1,22,73
1,41.6,0,0.1,0,9,69
1,41.6,0,0.1,1,18,143
1,41.6,0,0.32,0,264,0
1,41.6,0,0.32,1,18,52
1,41.6,33.3,0,0,7,68
1,41.6,33.3,0,1,9,73
1,41.6,33.3,0.03,0,3,62
1,41.6,33.3,0.03,1,17,122
1,41.6,33.3,0.1,0,84,0
1,41.6,33.3,0.1,1,125,2
1,41.6,33.3,0.32,0,271,0
1,41.6,33.3,0.32,1,200,0
1,41.6,66.6,0,0,19,95
1,41.6,66.6,0,1,10,89
1,41.6,66.6,0.03,0,24,59
1,41.6,66.6,0.03,1,9,76
1,41.6,66.6,0.1,0,77,0
1,41.6,66.6,0.1,1,143,0
1,41.6,66.6,0.32,0,311,0
1,41.6,66.6,0.32,1,274,0
1,41.6,133.3,0,0,8,76
1,41.6,133.3,0,1,13,58
1,41.6,133.3,0.03,0,30,59
1,41.6,133.3,0.03,1,19,117
1,41.6,133.3,0.1,0,102,0
1,41.6,133.3,0.1,1,112,0
1,41.6,133.3,0.32,0,272,0
1,41.6,133.3,0.32,1,210,0
1,51.2,0,0,0,8,32
1,51.2,0,0,1,11,70
1,51.2,0,0.03,0,10,104
1,51.2,0,0.03,1,16,82
