day,titer,strain,surv
1,1.70294560951,TM171-03-pp1,1
2,2.62261845558,TM171-03-pp1,1
3,1.83389134144,TM171-03-pp1,1
4,1.71188955112,TM171-03-pp1,1
5,1.6940016679,TM171-03-pp1,1
6,1.71783432668,TM171-03-pp1,1
7,1.72088704926,TM171-03-pp1,1
8,1.70294560951,TM171-03-pp1,1
1,2.59905357949,TM171-03-pp5,1
2,4.51868051996,TM171-03-pp5,1
3,2.5425514334,TM171-03-pp5,1
4,1.75387787579,TM171-03-pp5,1
5,1.69426945059,TM171-03-pp5,1
6,1.69732217317,TM171-03-pp5,1
7,1.72115483195,TM171-03-pp5,1
8,1.70299916605,TM171-03-pp5,1
1,2.64018499958,BIRD1153,1
2,5.10148275097,BIRD1153,1
3,3.81285892443,BIRD1153,1
4,2.52412798482,BIRD1153,1
5,2.08962380359,BIRD1153,1
6,1.717566544,BIRD1153,1
7,1.74172054199,BIRD1153,1
8,1.68221922986,BIRD1153,1
1,2.34883744061,NY99,1
2,5.99764427748,NY99,1
3,7.25059945066,NY99,1
4,6.27442445851,NY99,1
5,3.02739875902,NY99,0.8
6,2.34273199544,NY99,0.8
7,1.84578089256,NY99,0.8
8,1.70294560951,NY99,0.8
1,4.64046808413,BIRD1461,1
2,6.24764619022,BIRD1461,1
3,3.72984629274,BIRD1461,1
4,2.44116890967,BIRD1461,1
5,1.71478160409,BIRD1461,0.83333
6,1.71767365707,BIRD1461,0.83333
7,1.74166698546,BIRD1461,0.83333
8,1.68216567332,BIRD1461,0.83333
