block,ttt,predation,ttt,crab,shrimp,ttt2,crab2,shrimp2
1,1,0,No Symbionts,C-,S-,a,n,n
1,1,1,No Symbionts,C-,S-,a,n,n
2,1,1,No Symbionts,C-,S-,a,n,n
2,1,1,No Symbionts,C-,S-,a,n,n
3,1,1,No Symbionts,C-,S-,a,n,n
3,1,1,No Symbionts,C-,S-,a,n,n
4,1,1,No Symbionts,C-,S-,a,n,n
4,1,1,No Symbionts,C-,S-,a,n,n
5,1,1,No Symbionts,C-,S-,a,n,n
5,1,1,No Symbionts,C-,S-,a,n,n
6,1,1,No Symbionts,C-,S-,a,n,n
6,1,1,No Symbionts,C-,S-,a,n,n
7,1,1,No Symbionts,C-,S-,a,n,n
7,1,1,No Symbionts,C-,S-,a,n,n
8,1,1,No Symbionts,C-,S-,a,n,n
8,1,1,No Symbionts,C-,S-,a,n,n
9,1,1,No Symbionts,C-,S-,a,n,n
9,1,1,No Symbionts,C-,S-,a,n,n
10,1,1,No Symbionts,C-,S-,a,n,n
10,1,0,No Symbionts,C-,S-,a,n,n
1,2,0,Pair of Shrimp,C-,S+,b,n,y
1,2,0,Pair of Shrimp,C-,S+,b,n,y
2,2,0,Pair of Shrimp,C-,S+,b,n,y
2,2,0,Pair of Shrimp,C-,S+,b,n,y
3,2,0,Pair of Shrimp,C-,S+,b,n,y
3,2,0,Pair of Shrimp,C-,S+,b,n,y
4,2,0,Pair of Shrimp,C-,S+,b,n,y
4,2,0,Pair of Shrimp,C-,S+,b,n,y
5,2,0,Pair of Shrimp,C-,S+,b,n,y
5,2,1,Pair of Shrimp,C-,S+,b,n,y
6,2,1,Pair of Shrimp,C-,S+,b,n,y
6,2,1,Pair of Shrimp,C-,S+,b,n,y
7,2,1,Pair of Shrimp,C-,S+,b,n,y
7,2,1,Pair of Shrimp,C-,S+,b,n,y
8,2,1,Pair of Shrimp,C-,S+,b,n,y
8,2,1,Pair of Shrimp,C-,S+,b,n,y
9,2,1,Pair of Shrimp,C-,S+,b,n,y
9,2,1,Pair of Shrimp,C-,S+,b,n,y
10,2,1,Pair of Shrimp,C-,S+,b,n,y
10,2,1,Pair of Shrimp,C-,S+,b,n,y
1,3,0,Pair of Crabs,C+,S-,c,y,n
1,3,0,Pair of Crabs,C+,S-,c,y,n
2,3,0,Pair of Crabs,C+,S-,c,y,n
2,3,0,Pair of Crabs,C+,S-,c,y,n
3,3,0,Pair of Crabs,C+,S-,c,y,n
3,3,0,Pair of Crabs,C+,S-,c,y,n
4,3,0,Pair of Crabs,C+,S-,c,y,n
4,3,0,Pair of Crabs,C+,S-,c,y,n
5,3,1,Pair of Crabs,C+,S-,c,y,n
5,3,1,Pair of Crabs,C+,S-,c,y,n
6,3,1,Pair of Crabs,C+,S-,c,y,n
6,3,1,Pair of Crabs,C+,S-,c,y,n
7,3,1,Pair of Crabs,C+,S-,c,y,n
7,3,1,Pair of Crabs,C+,S-,c,y,n
8,3,1,Pair of Crabs,C+,S-,c,y,n
8,3,1,Pair of Crabs,C+,S-,c,y,n
9,3,1,Pair of Crabs,C+,S-,c,y,n
9,3,1,Pair of Crabs,C+,S-,c,y,n
10,3,1,Pair of Crabs,C+,S-,c,y,n
10,3,1,Pair of Crabs,C+,S-,c,y,n
1,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
1,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
2,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
2,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
3,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
3,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
4,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
4,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
5,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
5,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
6,4,0,Pair of Shrimp and Crabs,C+,S+,d,y,y
6,4,1,Pair of Shrimp and Crabs,C+,S+,d,y,y
7,4,1,Pair of Shrimp and Crabs,C+,S+,d,y,y
7,4,1,Pair of Shrimp and Crabs,C+,S+,d,y,y
8,4,1,Pair of Shrimp and Crabs,C+,S+,d,y,y
8,4,1,Pair of Shrimp and Crabs,C+,S+,d,y,y
9,4,1,Pair of Shrimp and Crabs,C+,S+,d,y,y
9,4,1,Pair of Shrimp and Crabs,C+,S+,d,y,y
10,4,1,Pair of Shrimp and Crabs,C+,S+,d,y,y
10,4,1,Pair of Shrimp and Crabs,C+,S+,d,y,y
