Log Viral Load,VL,TP_Best,TP_top,TP_bot,CI upper,CI lower
2,100,0.041658172,1.04,0,0.998341828,0.041658172
2.2,158.4893192,0.063780956,1.16,0,1.096219044,0.063780956
2.4,251.1886432,0.096812193,1.27,0,1.173187807,0.096812193
2.6,398.1071706,0.145399376,1.38,0,1.234600624,0.145399376
2.8,630.9573445,0.215495177,1.49,0,1.274504823,0.215495177
3,1000,0.314033875,1.58,0.02,1.265966125,0.294033875
3.2,1584.893192,0.447725571,1.65,0.05,1.202274429,0.397725571
3.4,2511.886432,0.620353644,1.72,0.14,1.099646356,0.480353644
3.6,3981.071706,0.828303499,1.8,0.29,0.971696501,0.538303499
3.8,6309.573445,1.05559373,1.99,0.51,0.93440627,0.54559373
4,10000,1.272391355,2.27,0.74,0.997608645,0.532391355
4.2,15848.93192,1.441890425,2.35,0.91,0.908109575,0.531890425
4.4,25118.86432,1.534871723,2.29,1.02,0.755128277,0.514871723
4.6,39810.71706,1.542239644,2.14,1.08,0.597760356,0.462239644
4.8,63095.73445,1.475855841,1.97,1.08,0.494144159,0.395855841
5,100000,1.359094326,1.8,1.03,0.440905674,0.329094326
5.2,158489.3192,1.216094674,1.69,0.88,0.473905326,0.336094674
5.4,251188.6432,1.06568243,1.59,0.71,0.52431757,0.35568243
5.6,398107.1706,0.920055019,1.49,0.55,0.569944981,0.370055019
5.8,630957.3445,0.785920975,1.4,0.41,0.614079025,0.375920975
6,1000000,0.666224507,1.32,0.29,0.653775493,0.376224507
6.2,1584893.192,0.561616295,1.23,0.2,0.668383705,0.361616295
6.4,2511886.432,0.471480011,1.14,0.14,0.668519989,0.331480011
6.6,3981071.706,0.394577864,1.06,0.09,0.665422136,0.304577864
6.8,6309573.445,0.329430319,0.98,0.06,0.650569681,0.269430319
7,10000000,0.274527396,0.9,0.04,0.625472604,0.234527396
