"logVL" "meanval" "upper" "lower"
3.1 15.0023360556 24.9338429049 9.31740454877
3.3 13.7740380123 23.7054514194 9.25339662487
3.5 12.5456465268 19.7375207909 8.84710983199
3.7 11.4543347848 16.454428227 8.64620904895
3.9 10.2945298922 13.9931600292 8.03425591956
4.1 9.06613840662 11.8744510269 7.28540993104
4.3 8.04331981536 10.2351940795 6.6050570932
4.5 7.08899437478 8.73282999122 5.85621110467
4.7 6.06617578351 7.5045319479 5.17595170906
4.9 5.2488366443 6.34472705526 4.42701227831
5.1 4.49999065578 5.59578762451 3.67807284756
5.3 3.8880375264 5.12091423873 2.86073370835
5.5 3.34467098993 4.57764114448 2.24887402119
5.7 2.80130445346 4.17126090938 1.56852118335
5.9 2.32643106767 3.83328038274 1.02534153133
