Year,Site,Lat,Long,Method,GS NEE,GS GPP,GS ER,W NEE,MAT,TAP,Reference
1966,"Meade River, AK",70.48333,-157.41667,CO2 + DM,-152.0,-,-,-,-15.5,205,Oechel et al 2000; Johnson and Kelly 1970
1970,"Barrow, AK",71.22014,-156.68889,CHA,-26.0,-,-,-,-13.4,104,Oechel et al 2000; Coyne and Kelly 1975
1971,"Barrow, AK",71.22014,-156.68889,CHA,-30.0,-,-,-,-13.4,104,Oechel et al 2000; Coyne and Kelly 1975
1972,"Barrow, AK",71.22014,-156.68889,CHA,-28.0,-,-,-,-13.4,104,Oechel et al 2000; Coyne and Kelly 1975
1979,"North Slope, AK",67.96667,-148.08333,SL,-,-,62.2,21.2,-16.4,130,Fahnestock et al 1999; Poole and Miller 1982
1979,"North Slope, AK",67.96667,-148.08333,SL,-,-,37.8,0.5,-16.4,130,Fahnestock et al 1999; Poole and Miller 1982
1979,"North Slope, AK",67.96667,-148.08333,SL,-,-,46.7,9.6,-16.4,130,Fahnestock et al 1999; Poole and Miller 1982
1983,"Toolik, AK",68.63333,-149.58333,CHA,390.0,-,-,-,-14.8,231,Oechel et al 2000; Oechel et al 1993
1984,"Toolik, AK",68.63333,-149.58333,CHA,380.0,-,-,-,-13.4,225,Oechel et al 2000; Oechel et al 1993
1985,"Toolik, AK",68.63333,-149.58333,CHA,100.0,-,-,-,-15.5,137,Oechel et al 2000; Oechel et al 1993
1986,"Sagavanjtik River Valley, AK",68.77778,-148.85222,SL,-,-,85.3,21.2,-13.2,150,Fahenstock et al 1999; Giblin et al 1991
1986,"Sagavanjtik River Valley, AK",68.77778,-148.85222,SL,-,-,126.7,9.6,-13.2,150,Fahenstock et al 1999; Giblin et al 1991
1986,"Sagavanjtik River Valley, AK",68.77778,-148.85222,SL,-,-,125.3,-,-13.2,150,Fahenstock et al 1999; Giblin et al 1991
1986,"Sagavanjtik River Valley, AK",68.77778,-148.85222,SL,-,-,85.3,-,-13.2,150,Fahenstock et al 1999; Giblin et al 1991
1986,"Sagavanjtik River Valley, AK",68.77778,-148.85222,SL,-,-,38.7,12.3,-13.2,150,Fahenstock et al 1999; Giblin et al 1991
1987,"Toolik, AK",68.63333,-149.58333,CHA,72.0,-,-,-,-12.8,245,Oechel et al 2000; Oechel et al 1993; Grulke et al 1990
1990,"APL-133, AK",69.93611,-148.81722,CHA,90.0,-,-,-,-12.9,268,Oechel et al 2000; Oechel et al 1993
1990,"APL-133, AK",69.93611,-148.81722,CHA,22.0,-,-,-,-12.9,268,Oechel et al 2000; Oechel et al 1993
1990,"APL-133, AK",69.93611,-148.81722,CHA,39.0,-,-,-,-12.9,268,Oechel et al 2000; Oechel et al 1993
1990,"Happy Valley, AK",69.16389,-148.84639,CHA,115.0,-,-,-,-13.2,256,Oechel et al 2000; Oechel et al 1993
1990,"Imnavait Creek, AK",68.63333,-149.41667,CHA,-,-,89.9,-,-12,273,Oberbauer et al 1996
1990,"Prudhoe Bay, AK",70.36667,-148.56667,CHA,66.0,-,-,-,-12.4,293,Oechel et al 2000; Oechel et al 1993
1990,"Prudhoe Bay, AK",70.36667,-148.56667,CHA,3.0,-,-,-,-12.4,293,Oechel et al 2000; Oechel et al 1993
1990,"Toolik, AK",68.63333,-149.58333,CHA,134.0,-,-,-,-12.3,172,Oechel et al 2000; Oechel et al 1993
1991,"APL-133, AK",69.93611,-148.81722,CHA,-39.0,-,-,-,-12.4,192,Oechel et al 2000; Vourlitis et al 1993
1991,"APL-133, AK",69.93611,-148.81722,CHA,-13.0,-,-,-,-12.4,192,Oechel et al 2000; Vourlitis et al 1993
1991,"APL-133, AK",69.93611,-148.81722,CHA,27.0,-,-,-,-15.2,170,Oechel et al 2000; Vourlitis et al 1993
1991,"Happy Valley, AK",69.16389,-148.84639,CHA,67.0,-,-,-,-12.6,183,Oechel et al 2000; Vourlitis et al 1993
1991,"Imnavait Creek, AK",68.63333,-149.41667,CHA,-,-,120.6,-,-11.2,182,Oberbauer et al 1996
1991,"Prudhoe Bay, AK",70.36667,-148.56667,CHA,11.0,-,-,-,-12.1,207,Oechel et al 2000; Vourlitis et al 1993
1991,"Prudhoe Bay, AK",70.36667,-148.56667,CHA,-25.0,-,-,-,-12.1,207,Oechel et al 2000; Vourlitis et al 1993
1991,"Sagwon, AK",69.37306,-148.70056,CHA,32.0,-,-,-,-12.1,188,Oechel et al 2000; Vourlitis et al 1993
1991,"Toolik, AK",68.63333,-149.58333,CHA,88.0,-,-,-,-15,160,Oechel et al 2000; Vourlitis et al 1993
1992,"Barrow, AK",71.22014,-156.68889,CHA,7.0,-,-,-,-13.4,104,Oechel et al 2000; Oechel et al 1995
1992,"Barrow, AK",71.22014,-156.68889,CHA,14.9,-46.3,61.2,-,-13.4,104,Oechel et al 1995
1992,"Barrow, AK",71.22014,-156.68889,CHA,-4.3,-74.5,70.2,-,-13.4,104,Oechel et al 1995
1992,"Barrow, AK",71.22014,-156.68889,CHA,3.9,-80.6,84.4,-,-13.4,104,Oechel et al 1995
1992,"Barrow, AK",71.22014,-156.68889,CHA,1.4,-98.9,99.5,-,-11.8,122,Oechel et al 1995
1992,"Barrow, AK",71.22014,-156.68889,CHA,6.5,-112.9,119.6,-,-14,195,Oechel et al 1995
1992,"Barrow, AK",71.22014,-156.68889,CHA,-,-,90.3,12.3,-14,195,Fahbestock et al 1999; Oechel et al 1995
1992,"Imnavait Creek, AK",68.63333,-149.41667,CHA,-,-,122.1,-,-13.7,177,Oberbauer et al 1996
1992,"Toolik, AK",68.63333,-149.58333,CHA,27.0,-,-,-,-14.7,158,Oechel et al 2000
1993,"Prudhoe Bay, AK",70.36667,-148.56667,CHA,-12.0,-,-,-,-14.6,169,Oechel et al 2000; Oechel et al 1998
1993,"Prudhoe Bay, AK",70.36667,-148.56667,CHA,-8.0,-71.2,63.2,-,-14.6,169,Oechel et al 1998
1993,"Toolik & Happy Valley, AK",68.63333,-149.58333,CUV,32.4,-,-,73.3,-14,138,Oechel et al 1997
1993,"Toolik, AK",68.63333,-149.58333,CHA,-88.1,-399.2,311.1,-,-13.3,195,Hobbie and Chapin 1998
1993,"West Dock & U-PAD, AK",70.26667,-148.88333,CUV,3.2,-,-,20.3,-15.6,168,Oechel et al 1997
1994,"Happy Valley, AK",69.16389,-148.84639,CHA,-38.0,-,-,-,-13.5,205,Oechel et al 2000
1994,"Happy Valley, AK",69.16389,-148.84639,EC,-51.0,-,-,-,-13.5,205,Oechel et al 2000; Vourlitis and Oechel 1999
1994,"Happy Valley, AK",69.16389,-148.84639,EC,-48.9,-278.7,229.8,-,-13.5,205,Vourlitis and Oechel 1999
1994,"Prudhoe Bay, AK",70.36667,-148.56667,CHA,-25.0,-,-,-,-13.2,206,Oechel et al 2000; Oechel et al 1998
1994,"Prudhoe Bay, AK",70.36667,-148.56667,CHA,-9.0,-,-,-,-13.2,206,Oechel et al 2000; Vourlitis et al 1993
1994,"Prudhoe Bay, AK",70.36667,-148.56667,EC,-14.0,-,-,-,-13.2,206,Oechel et al 2000; Vourlitis and Oechel 1997
1994,"Prudhoe Bay, AK",70.36667,-148.56667,CHA,-12.8,-72.0,59.2,-,-13.2,206,Oechel et al 1998
1994,"Toolik, AK",68.63333,-149.58333,CHA,34.0,-,-,-,-11.6,179,Oechel et al 2000
1994,"U-PAD, AK ",70.29111,-148.88972,EC,-20.0,-,-,-,-14.1,203,Vourlitis and Oechel 1997
1994,"U-PAD, AK ",70.29111,-148.88972,CHA,-15.5,-141.3,125.8,-,-14.1,203,Vourlitis et al 2000b
1994,"U-PAD, AK ",70.29111,-148.88972,CHA,-32.9,-125.8,83.2,-,-14.1,203,Vourlitis et al 2000b
1994,"U-PAD, AK ",70.29111,-148.88972,EC,-29.0,-,-,-,-14.1,203,Vourlitis et al 2000b
1994,"U-PAD, AK ",70.29111,-148.88972,MOD,-23.2,-133.5,110.3,-,-14.1,203,Vourlitis et al 2000b
1995,"APL-133, AK",69.93611,-148.81722,EC,-34.0,-,-,-,-11.9,181,Oechel et al 2000; Vourlitis and Oechel 1997
1995,"APL-133, AK",69.93611,-148.81722,EC,-35.8,-,-,-,-11.9,181,Vourlitis and Oechel 1997
1995,"Halmer-Yu, RU",67.95000,64.66667,CHA,-11.5,-182.7,171.2,-,-5.5,432,Zamolodchikov et al 2000
1995,"Happy Valley, AK",69.16389,-148.84639,EC,-58.0,-,-,-,-12,187,Oechel et al 2000; Vourlitis and Oechel 1999
1995,"Happy Valley, AK",69.16389,-148.84639,EC,-105.4,-285.6,180.2,-,-12,187,Vourlitis and Oechel 1999
1995,"Happy Valley, AK",69.16389,-148.84639,EC,-60.0,-254.3,194.3,-,-12,187,Vourlitis et al 2000
1995,"Happy Valley, AK",69.16389,-148.84639,EC,-83.5,-153.9,70.4,-,-12,187,Vourlitis et al 2000
1995,"Prudhoe Bay, AK",70.36667,-148.56667,EC,-13.0,-,-,-,-11.6,149,Oechel et al 2000; Vourlitis and Oechel 1997
1995,"Toolik, AK",68.63333,-149.58333,CHA,108.9,-,-,0.2,-11.6,179,Welker et al 2000
1995,"Toolik, AK",68.63333,-149.58333,CHA,193.5,-,-,0.3,-14.1,278,Welker et al 2000
1995,"U-PAD, AK ",70.29111,-148.88972,EC,-14.7,-,-,-,-12.5,180,Vourlitis and Oechel 1997
1996,"Fairbanks, AK",64.75000,-148.25000,SL,-,-,163.5,140.7,-12,312,Grogen and Chapin 1999
1996,"Happy Valley, AK",69.16389,-148.84639,EC,-60.0,-,-,-,-15.7,202,Oechel 2000
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,3.5,-14.5,280,Fahnestock et al. 1998
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,10.4,-14.5,280,Fahnestock et al. 1998
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,2.1,-14.5,280,Fahnestock et al. 1998
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,1.4,-14.5,280,Fahnestock et al. 1998
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,21.1,-14.5,280,Fahnestock et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,12.4,-14.5,280,Fahnestock et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,26.6,-14.5,280,Fahnestock et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,9.6,-14.5,280,Fahnestock et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,21.8,-14.5,280,Fahnestock et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,2.1,-14.5,280,Fahnestock et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,0.6,-14.5,280,Fahnestock et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,4.6,-14.5,280,Fahnestock et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,52.0,11.3,-14.5,280,Fahnestock et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,24.1,-14.5,280,Jones et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,14.6,-14.5,280,Jones et al 1999
1996,"North Slope, AK",69.05000,-148.15000,CO2 + DM,-,-,-,13.5,-14.5,280,Jones et al 1999
1996,"Prudhoe Bay, AK",70.36667,-148.56667,EC,-24.0,-,-,-,-14.2,149,Oechel 2000
1996,"Sagwon, AK",69.42000,148.71000,SL,-,-,171.9,113.7,-14,282,Grogen and Chapin 1999
1996,"Talnik, RU",67.18700,-63.88400,CHA,26.9,-226.9,253.8,-,-4,484,Zamolodchikov et al 2000
1996,"Talnik, RU",67.18700,-63.88400,CHA,-57.7,-419.2,361.5,-,-4,484,Zamolodchikov et al 2000
1996,"Toolik, AK",68.63333,-149.58333,CHA,42.1,-,-,1.1,-14.1,278,Welker et al 2000
1996,"Toolik, AK",68.63333,-149.58333,CHA,51.6,-,-,8.7,-14.1,278,Welker et al 2000
1996,"Toolik, AK",68.63333,-149.58333,SL,-,-,142.9,189.2,-14.1,278,Grogen and Chapin 1999
1996,"Toolik, AK",68.63333,-149.58333,CHA,10.0,-,-,-,-13.9,182,Oberbauer et al 1998
